Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002513;821763;75015;13;3;NV BESIX;CONSTRUCTION_IMMEUBLE;Tour triangle;Rue d'Oradour sur Glane;Emprise située entre le 31 et 35 rue d'Oradour sur Glane;2023-06-01;2023-09-01;RESTREINTE;Impact sur le trottoir et sur la chaussée qui a une circulation restreinte;2;2;;"{""coordinates"": [[[2.284437296378733, 48.83073817436931], [2.2843811921020545, 48.83067878637683], [2.2837637478513586, 48.83093545774772], [2.2838320839853115, 48.83099223551874], [2.284437296378733, 48.83073817436931]]], ""type"": ""Polygon""}";48.830836713921045, 2.2841019775762783
CP002520;821159;75018;10;2;CPCU;ENTRETIEN_RESEAU;Fuite réseau chauffage urbain;rue Marc Seguin;Au n° 5;2023-07-17;2025-03-21;RESTREINTE;Voie restante à la circulation: 4 ml;2;2;;"{""coordinates"": [[[2.365157111368538, 48.89170504927307], [2.3647127868696978, 48.89174409579328], [2.3647106400047972, 48.891742656281195], [2.3647209358129238, 48.89178601772268], [2.365129201481447, 48.89174487613769], [2.365157111368538, 48.89170504927307]]], ""type"": ""Polygon""}";48.891745198160194, 2.3649247193591445
CP001671;;75001;11;3;LOUVRE-SAINT HONORE;REHABILITATION_IMMEUBLE;;rue Marengo;n°1;2020-06-29;2024-06-30;RESTREINTE;Modification de s files de circulation;2;2;;"{""coordinates"": [[[2.339184393412102, 48.861658039029976], [2.3390613895856074, 48.86168829374776], [2.339170525908402, 48.86189829527489], [2.3392320575540237, 48.861880788366435], [2.3392883317468085, 48.86185135492416], [2.339184393412102, 48.861658039029976]]], ""type"": ""Polygon""}";48.8617761419693, 2.339176391503361
CP001984;;75018;9;1;;REAMENAGEMENT_SECTEUR;;;;2020-02-21;2024-03-31;RESTREINTE;Réduction de la circulation selon les phases.;1;2;;"{""coordinates"": [[[2.362749344991021, 48.89729874701104], [2.356613648667943, 48.89725874500838], [2.356266873601493, 48.90158897317446], [2.3624351362176683, 48.90167212631942], [2.362749344991021, 48.89729874701104]]], ""type"": ""Polygon""}";48.8994568096464, 2.3595211317235596
CP001996;412053;75013;14;2;RATP;TRAVAUX_OUVRAGE;Création d'une sortie mécanisée, par phases.;place d'Italie /Carrefour Blanqui;sur le terre- plein.;2021-07-15;2023-06-30;RESTREINTE;Maintien de trois files de circulation sur la place d'Italie au droit de l'emprise;2;2;;"{""coordinates"": [[[2.3544366868983295, 48.83116720498007], [2.3547080734152934, 48.83124919474142], [2.3548299030743762, 48.83126058869136], [2.3549459267741835, 48.8310840581258], [2.354549011188846, 48.83096112933994], [2.3544169242273565, 48.83112146689531], [2.3544366868983295, 48.83116720498007]]], ""type"": ""Polygon""}";48.83111868993894, 2.354675072745107
CP002158;604515;75019;10;2;RATP ligne 2;TRAVAUX_OUVRAGE;"Renforcement des travées du métro aérien
+ travaux sur les 2 escaliers menant au quais";222-230 Boulevard de la Villette;;2021-11-02;2022-12-11;RESTREINTE;neutralisation du stationnement, piéton en lice;2;2;;"{""coordinates"": [[[2.366299232998372, 48.88435282951406], [2.3671839337398466, 48.88429207374539], [2.3671713970175596, 48.88413615136192], [2.3667615680136533, 48.88416253813643], [2.366269049854224, 48.88416469145341], [2.366299232998372, 48.88435282951406]]], ""type"": ""Polygon""}";48.88424029147946, 2.3667159312952366
CP002163;457934;75009;11;3;BNP;REHABILITATION_IMMEUBLE;;51/53 bd Haussmann / 16/18 rue Auber / 47/49 rue Caumartin;;2021-10-25;2023-03-30;RESTREINTE;Maintien d'une file de circulation sur la rue de Caumartin et réduction d'une sur le bd Haussmann entre Caumartin et Auber.;1;2;;"{""coordinates"": [[[2.3283108065811398, 48.87318932853785], [2.328167808124059, 48.87322897834712], [2.3277462033051948, 48.87347407998254], [2.3278217114054605, 48.873632741040495], [2.328343969910743, 48.87355476979858], [2.3283108065811398, 48.87318932853785]]], ""type"": ""Polygon""}";48.87344052287211, 2.3280855098236546
CP002268;534110;75015;13;2;CPCU;ENTRETIEN_RESEAU;Modernisation Chambre;bd Pasteur;Au N° 52;2022-01-31;2023-02-22;RESTREINTE;;2;2;;"{""coordinates"": [[[2.313657625860738, 48.84122930170467], [2.3136802893204798, 48.841287731417765], [2.313696182835892, 48.84131280792319], [2.3138767494813437, 48.84115203226221], [2.313790782043143, 48.84110989664495], [2.313659397022841, 48.8412316915925], [2.313657625860738, 48.84122930170467]]], ""type"": ""Polygon""}";48.841203375944964, 2.313757003270671
CP002321;577308;75010;11;3;REDMAN;REHABILITATION_IMMEUBLE;Réhabilitation + Construction;Rue du Faubourg St Martin / Rue La Fayette;Au N°238 / du 206 au 208;2022-05-10;2023-05-02;RESTREINTE;;2;2;;"{""coordinates"": [[[2.365840995534751, 48.88151476122314], [2.365716934285438, 48.88153154561355], [2.365845881285455, 48.88160837224], [2.3661912728988086, 48.881687141577586], [2.366186059782883, 48.88162048895242], [2.365862312725095, 48.88154183424052], [2.3658421553414652, 48.88151872981292], [2.365840995534751, 48.88151476122314]]], ""type"": ""Polygon""}";48.881600082045246, 2.365970844750482
CP002345;638514;75016;13;2;CPCU;TRAVAUX_OUVRAGE;Sinistre sur canalisations;avenue Georges Mandel;Au n°56;2022-06-13;2022-09-09;RESTREINTE;Emprise sur la voie de gauche;2;2;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/32S21092 - 53 avenue Georges Mandel 75016 PARIS.pdf;"{""coordinates"": [[[2.2778131385578546, 48.86406031720091], [2.2778381456380856, 48.864077600764354], [2.278073662031667, 48.86405141874863], [2.2780898139031986, 48.8640310523129], [2.2778131385578546, 48.86406031720091]]], ""type"": ""Polygon""}";48.8640550113485, 2.2779521135750724
